category,item,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fibre,sugar,protein,vitamin_a,vitamin_c,calcium,iron
CRISPY ROLLS,Trilogie,202,400,20,2,0,30,75,36,1,1,17,0,6,2,10
CRISPY ROLLS,Trilogie  (brown  rice),202,430,22,2,0,30,75,41,4,1,18,0,6,2,10
CRISPY ROLLS,Dragon  Eye,244,410,22,2,0,40,240,34,3,2,22,35,15,4,15
CRISPY ROLLS,Dragon  Eye  (brown  rice),244,430,22,2,0,40,240,36,4,2,22,35,15,2,15
SUSHI PIZZA,Sunrise  ,273,550,29,6,0.2,70,770,51,2,6,19,50,10,6,15
SUSHI PIZZA,Sunrise  (brown  rice),273,590,31,6,0.2,70,770,56,5,7,20,50,10,4,15
SUSHI PIZZA,CasaBlanca,254,510,28,4.5,0.2,75,270,42,1,3,21,4,20,6,10
SUSHI PIZZA,CasaBlanca  (brown  rice),254,550,30,4.5,0.2,75,270,48,4,3,22,4,20,4,10
SUSHI PIZZA,Authentik,252,530,30,5,0.2,70,780,43,1,1,22,6,4,6,15
SUSHI PIZZA,Authentik  (brown  rice),252,570,31,5,0.2,70,780,48,3,1,22,6,4,4,10
SUSHI PIZZA,Lobster  &  Co.,248,490,26,4,0.2,65,480,43,1,4,20,10,10,6,15
SUSHI PIZZA,Lobster  &  Co.  (brown  rice),248,530,28,4,0.2,65,480,49,4,4,20,10,10,6,10
SUSHI PIZZA,Rainbow  360,251,530,31,5,0.2,35,450,41,2,1,21,6,4,6,15
SUSHI PIZZA,Rainbow  360  (brown  rice),251,570,32,5,0.2,35,450,47,5,1,22,6,4,4,15
SUSHI PIZZA,O'Gratin,261,500,27,4.5,0.2,130,290,41,1,1,22,15,40,8,20
SUSHI PIZZA,O'Gratin  (brown  rice),261,540,28,4.5,0.2,130,290,47,4,1,23,15,40,6,20
TEMARI,Fireball (1  pc),45,60,1.5,0.2,0,15,140,9,0.3,1,2.5,6,2,2,2
TEMARI,Fireball - brown  rice  (1  pc),45,75,2,0.2,0,15,140,11,0.8,1,2.5,6,2,1,2
TEMARI,Fireball (4  pcs),180,230,6,0.5,0.1,60,550,34,1,3,10,25,8,6,8
TEMARI,Fireball - brown  rice  (4  pcs),180,290,8,0.5,0.1,60,550,42,4,3,10,25,8,4,6
TEMARI,Tataki Tuna  (1  pc)  ,41,60,2,0.2,0,5,55,8,0,1,2,0,0,0,2
TEMARI,Tataki Tuna  ‐  brown  rice  (1  pc)  ,41,80,2.5,0.2,0,5,55,10,1,1,3,0,0,0,0
